title,authors,categories,thumbnail,average_rating
Little Miss Scary,Adam Hargreaves;Roger Hargreaves,Children's stories,http://books.google.com/books/content?id=8mFYAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.73
Bury the Chains,Adam Hochschild,History,http://books.google.com/books/content?id=8p6c9N5K2i0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.27
Angry Black White Boy,Adam Mansbach,Fiction,http://books.google.com/books/content?id=g9xlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.55
Frankenstein Makes a Sandwich,Adam Rex,Juvenile Nonfiction,http://books.google.com/books/content?id=OUJaTc8S874C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.21
Political Philosophy: A Beginner's Guide for Students and Politicians,Adam Swift,Philosophy,http://books.google.com/books/content?id=VM3R5IfrqT8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93
Political Philosophy,Adam Swift,Philosophy,http://books.google.com/books/content?id=koYetXlCc-IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.93
The Dead Yard,Adrian McKinty,Fiction,http://books.google.com/books/content?id=GQhDKlrFQnYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.12
The Lighthouse Land,Adrian McKinty,Juvenile Fiction,http://books.google.com/books/content?id=dhRJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.6
Legend of the Five Rings,Aeg,Games,http://books.google.com/books/content?id=nnkIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.68
The Oresteia,Aeschylus,Drama,http://books.google.com/books/content?id=NtSGKcgMIlIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.01
The Oresteia,Aeschylus,Drama,http://books.google.com/books/content?id=SY9HlKSNwZUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.01
"Aeschylus, 1",Aeschylus,Drama,http://books.google.com/books/content?id=z22kI-IKUXoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.01
"Aeschylus, 2",Aeschylus,Drama,http://books.google.com/books/content?id=zVpENNx_3kwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.1
Aeschylus: The suppliant maidens,Aeschylus;David Grene,Drama,http://books.google.com/books/content?id=gJCNNZE8INQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1
The Oresteia Trilogy,Aeschylus;E. D. A. Morshead,Drama,http://books.google.com/books/content?id=Bg0mDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.01
Prometheus Bound and Other Plays,Aeschylus;Philip Vellacott,Drama,http://books.google.com/books/content?id=0gbclW98ougC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1
The Complete Greek Tragedies: Euripides,Aeschylus;Sophocles;Euripides,Drama,http://books.google.com/books/content?id=QgdZ0cwlaSIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.48
The Oresteia of Aeschylus,Aeschylus;Ted Hughes,Drama,http://books.google.com/books/content?id=Wk4955xRHPkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.01
An Autobiography,Agatha Christie,"Authors, English",http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05
Miss Marple,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2
Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.77
Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89
Death in the Clouds,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8
Appointment with Death,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86
Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.66
Hercule Poirot's Christmas,Agatha Christie,Christmas stories,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93
The Big Four,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.59
The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89
They Do it with Mirrors,Agatha Christie,American fiction,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.75
A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98
The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.91
Mrs McGinty's Dead,Agatha Christie,Belgians,http://books.google.com/books/content?id=gcS0d5HhGEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.83
Taken at the Flood,Agatha Christie,Fiction,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.71
The Hollow,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.79
Third Girl,Agatha Christie,Belgians,http://books.google.com/books/content?id=Dbh7nUkG_6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.62
The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86
Endless Night,Agatha Christie,FICTION,http://books.google.com/books/content?id=kY1wuNfgmFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.77
The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=n0aMDV7Lm4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.72
The Listerdale Mystery,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=J1tLGz5G84EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.55
Poirot,Agatha Christie,Authors,http://books.google.com/books/content?id=lbOOJGLxM9MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2
Black Coffee,Agatha Christie,Fiction,http://books.google.com/books/content?id=-VhVpVwI6h4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.48
Crooked House,Agatha Christie,Fiction,http://books.google.com/books/content?id=c3DuwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02
Hercule Poirot's Casebook,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=okVDkgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3
The Regatta Mystery and Other Stories,Agatha Christie,Fiction,http://books.google.com/books/content?id=36hHPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.95
Murder on the Orient Express,Agatha Christie,Fiction,http://books.google.com/books/content?id=DZ47PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16
Murder on the Orient Express,Agatha Christie,Fiction,http://books.google.com/books/content?id=yv-_9AgO5PwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16
The A.B.C. Murders,Agatha Christie,Fiction,http://books.google.com/books/content?id=rkc0_G_ULg4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4
Murder at the Vicarage,Agatha Christie,Fiction,http://books.google.com/books/content?id=gXWnYlqSrnAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05
The Body in the Library,Agatha Christie,Fiction,http://books.google.com/books/content?id=hcgeejmsoFkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85
The Murder of Roger Ackroyd,Agatha Christie,Fiction,http://books.google.com/books/content?id=vipSK5f4hbgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23
Evil Under the Sun,Agatha Christie,Fiction,http://books.google.com/books/content?id=aSK_ARf71S0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.96
A Murder is Announced,Agatha Christie,Fiction,http://books.google.com/books/content?id=qWRtfToniGcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98
Death on the Nile,Agatha Christie,Fiction,http://books.google.com/books/content?id=OHdsuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09
The Mystery of the Blue Train,Agatha Christie,Fiction,http://books.google.com/books/content?id=SY0puQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8
Paradise Kiss,Ai Yazawa,Comics & Graphic Novels,http://books.google.com/books/content?id=s5QMgY3kPX0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1
The Girl in the Flammable Skirt,Aimee Bender,Fiction,http://books.google.com/books/content?id=XkLhMA6NP9MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.88
An Invisible Sign of My Own,Aimee Bender,Fiction,http://books.google.com/books/content?id=ZLRKDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.68
Willful Creatures,Aimee Bender,Fiction,http://books.google.com/books/content?id=d5k3mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.99
The Secret Society of Demolition Writers,Aimee Bender;Marc Parent,Fiction,http://books.google.com/books/content?id=yK1lAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.12
"I'm Good Enough, I'm Smart Enough, and Doggone It, People Like Me!",Al Franken;Stuart Smalley,Humor,http://books.google.com/books/content?id=YQAkDD59unEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8
An Inconvenient Truth,Al Gore,Science,http://books.google.com/books/content?id=93M6C24ac9MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.76
The Beatles Illustrated Lyrics,Alan Aldridge;Beatles,Music,http://books.google.com/books/content?id=--hSPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.25
In Search of Captain Zero,Alan C. Weisbecker,Biography & Autobiography,http://books.google.com/books/content?id=K7gS-QmvaGYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15
The Dragon Doesn't Live Here Anymore,Alan Cohen,"Body, Mind & Spirit",http://books.google.com/books/content?id=xHx0me5kLxwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27
With Friends Like These,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=IKUcAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94
Reunion,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=PSeT-HlIU-IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87
Flinx's Folly,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=orfvplMu83wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94
Lost and Found,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=y54fLJRHzHAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.68
The Light-Years Beneath My Feet,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=EK1l81IRwmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.73
Sliding Scales,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=_RpV9GqY6jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87
Running from the Deity,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=9mnzmJ3Ksn0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8
The Chronicles of Riddick,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=yH_k60dLl_YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.95
"Star Trek, the Animated Series",Alan Dean Foster,Star trek fiction,http://books.google.com/books/content?id=K-VNwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.42
Star Trek Logs Five and Six,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=SUgtcAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.65
Logs Seven and Eight,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=K7wqSgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.69
Betcha Can't Read Just One,Alan Dean Foster,Fiction,http://books.google.com/books/content?id=xwJfUXa42wYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.88
The Spell,Alan Hollinghurst,Fiction,http://books.google.com/books/content?id=u8MZ_wV-QmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.54
The Line of Beauty,Alan Hollinghurst,Fiction,http://books.google.com/books/content?id=jUSgAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.73
The Lord of the Rings Sketchbook,Alan Lee,Art,http://books.google.com/books/content?id=JUdOAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27
From Hell,Alan Moore;Eddie Campbell;Pete Mullins,"Detective and mystery comic books, strips, etc",http://books.google.com/books/content?id=Op3iQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16
Einstein's Dreams,Alan P. Lightman,Fiction,http://books.google.com/books/content?id=1oSGmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07
"Cry, the Beloved Country",Alan Paton,Classical fiction,http://books.google.com/books/content?id=bHxyrMfxzwUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89
"Cry, the Beloved Country",Alan Paton,Fiction,http://books.google.com/books/content?id=dSJ8gNyS-NMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89
The Plague,Albert Camus,Epidemics,http://books.google.com/books/content?id=uSpDPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98
The Fall,Albert Camus,Fiction,http://books.google.com/books/content?id=OqEOMA-X0EkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05
The Rebel,Albert Camus,Philosophy,http://books.google.com/books/content?id=q6L0Ria0P0wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14
"Resistance, Rebellion, and Death",Albert Camus,Fiction,http://books.google.com/books/content?id=XVFBSyuWHo0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2
The Plague,Albert Camus,Fiction,http://books.google.com/books/content?id=bY1rswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.34
The Stranger,Albert Camus;Matthew Ward,Fiction,http://books.google.com/books/content?id=6d_pQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.97
"Notebooks, 1935-1951",Albert Camus;Philip Malcolm Waller Thody;Justin O'Brien,Biography & Autobiography,http://books.google.com/books/content?id=98ouHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.28
For the Sins of My Father,Albert DeMeo;Mary Jane Ross,Biography & Autobiography,http://books.google.com/books/content?id=40ca88BVtDcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05
Einstein's 1912 manuscript on the special theory of relativity,Albert Einstein,Biography & Autobiography,http://books.google.com/books/content?id=1KxYwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.41
Alcoholics Anonymous,Alcoholics Anonymous,Self-Help,http://books.google.com/books/content?id=lHVEwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.44
The Origins of the Civil Rights Movement,Aldon D. Morris,History,http://books.google.com/books/content?id=7vyHY9DWcu8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.04
Island,Aldous Huxley,Fiction,http://books.google.com/books/content?id=MB3VSMgJ5CkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85
The Perennial Philosophy,Aldous Huxley,Philosophy,http://books.google.com/books/content?id=YdaFEb_LE9YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23
The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,http://books.google.com/books/content?id=rz3NJb2-9_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,http://books.google.com/books/content?id=3h9eNAyQWzAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16
Brave New World,Aldous Huxley,Fiction,http://books.google.com/books/content?id=V4kY9WSCgSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98
Brave New World,Aldous Huxley,Fiction,http://books.google.com/books/content?id=-iU5Aq3WuGgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98
Huxley and God,Aldous Huxley,Religion,http://books.google.com/books/content?id=jv2PAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.31
Moksha,Aldous Huxley,"Body, Mind & Spirit",http://books.google.com/books/content?id=kGtvNQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17
Point Counter Point,Aldous Huxley,Fiction,http://books.google.com/books/content?id=i48OyQk9o7AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85
After Many a Summer Dies the Swan,Aldous Huxley,Fiction,http://books.google.com/books/content?id=7V2IreCUUF0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.75
Complete Essays,Aldous Huxley,English essays,http://books.google.com/books/content?id=t1EfzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.33
The Lost World of Agharti,Alec Maclellan,"Body, Mind & Spirit",http://books.google.com/books/content?id=zcfiLwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.79
Scary Edwin Page,Alec Sillifant;Daniel Postgate,Children's stories,http://books.google.com/books/content?id=uikcOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.21
Eugene Onegin: Commentary and index,Aleksandr Sergeevich Pushkin,Literary Criticism,http://books.google.com/books/content?id=l00OTAOKbesC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.22
EUGENE ONEGIN - A NOVEL IN VERSE V.1,Aleksandr Sergeevich Pushkin,Literary Criticism,http://books.google.com/books/content?id=gNqtvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.22
Eugene Onegin,Aleksandr Sergeevich Pushkin;Charles Johnston,English poetry,http://books.google.com/books/content?id=c3eIQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09
The Covert War Against Rock,Alex Constantine,Music,http://books.google.com/books/content?id=V4xyjIB0Ky4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.59
Inferno,Alex Irvine;Bob Kane,Comics & Graphic Novels,http://books.google.com/books/content?id=Jlaj2VfPofcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.6
No Price Too High,Alex Jones,Biography & Autobiography,http://books.google.com/books/content?id=jRMNOAXkzJ8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.26
Mythology,Alex Ross,Art,http://books.google.com/books/content?id=h6fzEpSYR-kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.32
CliffsNotes on Shakespeare's Macbeth,Alex Went,Literary Criticism,http://books.google.com/books/content?id=8oY7iK4_Ef8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.55
Chasing the Monsoon,Alexander Frater,India,http://books.google.com/books/content?id=5I7AAme3yfUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.96
Gilgamesh Epic and Old Testament Parallels,Alexander Heidel,Religion,http://books.google.com/books/content?id=iRwMQVdZegAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.97
Johnny Reb and Billy Yank,Alexander Hunter,United States,http://books.google.com/books/content?id=z4LeIK16FGwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.11
The Kalahari Typing School for Men,Alexander McCall Smith,Botswana,http://books.google.com/books/content?id=nsI7ngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4
Blue Shoes and Happiness,Alexander McCall Smith,Botswana,http://books.google.com/books/content?id=ophlvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06
Morality for Beautiful Girls,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=JTV3COlWawMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=BVPY5Q4hXF8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.77
In the Company of Cheerful Ladies,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=0e7IwAGT79kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07
Blue Shoes and Happiness,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=j3WkjIRphXEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06
The Sunday Philosophy Club,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=0huwAO0v41MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.36
The Finer Points of Sausage Dogs,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=RJplAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.69
The Sideways Guide to Wine and Life,Alexander Payne;Jim Taylor,Performing Arts,http://books.google.com/books/content?id=3MktAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.43
The Major Works,Alexander Pope,Poetry,http://books.google.com/books/content?id=N-P6v44wHxkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.88
The Poems of Alexander Pope,Alexander Pope,Poetry,http://books.google.com/books/content?id=OJhIxFLmwpkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.95
Eugene Onegin,Alexander Pushkin;James E. Falen,Fiction,http://books.google.com/books/content?id=-l1D5bJ4K3UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.09
Lara's Leap of Faith,Alexandra Moss,Juvenile Fiction,http://books.google.com/books/content?id=93bofL-ySOsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06
Isabelle's Perfect Performance,Alexandra Moss,Juvenile Fiction,http://books.google.com/books/content?id=mSBCAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05
Boys Or Ballet?,Alexandra Moss,Juvenile Fiction,http://books.google.com/books/content?id=wVnvOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86
Pledged,Alexandra Robbins,Education,http://books.google.com/books/content?id=1WHEwNOApAsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.17
The Women's War,Alexandre Dumas,Fiction,http://books.google.com/books/content?id=hEP4AGLZ00EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.95
The Knight Of Maison-Rouge,Alexandre Dumas,Fiction,http://books.google.com/books/content?id=vCNJvqEh4dsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89
The Three Musketeers,Alexandre Dumas,Comics & Graphic Novels,http://books.google.com/books/content?id=WNBQsrljxwkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.56
The Three Musketeers,Alexandre Dumas,Fiction,http://books.google.com/books/content?id=vp--U7m0g-AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.07
The Black Tulip,Alexandre Dumas Pere,Fiction,http://books.google.com/books/content?id=GNHcP8V-YQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8
La Dame Aux Camélias,Alexandre Dumas;David Coward,Fiction,http://books.google.com/books/content?id=Aqft1VzHuHkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.99
The Count of Monte Cristo,Alexandre Dumas;Margaret Brantley,Fiction,http://books.google.com/books/content?id=Y0Y-r1VscgQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.24
Democracy in America,Alexis de Tocqueville;Arthur Goldhammer,Philosophy,http://books.google.com/books/content?id=UXkJ0gvjS0AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.02
Democracy in America,Alexis Tocqueville;Gerald Bevan;Isaac Kramnick,History,http://books.google.com/books/content?id=PotlkxV-wF0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02
